iter	Passed	Remaining
0	60	60001
1	60	30091
2	60	20111
3	60	15122
4	60	12129
5	61	10130
6	61	8704
7	61	7635
8	61	6805
9	62	6141
10	62	5596
11	62	5143
12	62	4760
13	62	4432
14	63	4146
15	63	3895
16	63	3684
17	64	3492
18	64	3317
19	64	3161
20	64	3019
21	65	2890
22	65	2777
23	65	2669
24	66	2574
25	66	2482
26	66	2396
27	66	2315
28	66	2242
29	67	2172
30	67	2106
31	67	2045
32	67	1987
33	68	1935
34	68	1884
35	68	1837
36	68	1794
37	69	1751
38	69	1710
39	69	1671
40	69	1634
41	70	1600
42	70	1566
43	70	1534
44	70	1503
45	71	1474
46	71	1445
47	71	1418
48	71	1391
49	71	1366
50	72	1342
51	72	1319
52	72	1297
53	72	1275
54	73	1256
55	73	1236
56	73	1217
57	73	1198
58	74	1180
59	74	1163
60	74	1146
61	74	1130
62	74	1115
63	75	1101
64	75	1086
65	75	1071
66	75	1057
67	76	1041
68	76	1028
69	76	1015
70	76	1003
71	76	991
72	77	979
73	77	967
74	77	956
75	77	945
76	77	934
77	78	924
78	78	914
79	78	906
80	79	896
81	79	887
82	79	877
83	79	868
84	79	858
85	80	851
86	80	841
87	80	833
88	80	826
89	81	819
90	81	812
91	81	804
92	81	797
93	81	790
94	82	783
95	82	775
96	82	768
97	82	762
98	83	756
99	83	749
100	83	743
101	83	736
102	83	729
103	84	724
104	84	719
105	84	715
106	85	709
107	85	705
108	85	700
109	85	695
110	86	690
111	86	685
112	86	680
113	86	675
114	87	670
115	87	665
116	87	661
117	87	657
118	88	652
119	88	648
120	88	644
121	89	640
122	89	635
123	89	631
124	89	627
125	89	623
126	90	619
127	90	615
128	90	611
129	90	608
130	91	604
131	91	602
132	91	599
133	92	596
134	92	592
135	92	589
136	93	585
137	93	582
138	93	579
139	93	576
140	94	573
141	94	571
142	94	568
143	95	566
144	95	564
145	96	561
146	96	559
147	96	556
148	96	553
149	97	550
150	97	548
151	97	545
152	98	543
153	98	541
154	98	538
155	99	535
156	99	532
157	99	530
158	99	527
159	100	525
160	100	522
161	100	520
162	101	518
163	101	516
164	101	514
165	101	512
166	102	509
167	102	507
168	102	505
169	103	503
170	103	500
171	103	498
172	103	496
173	104	494
174	104	491
175	104	489
176	104	487
177	105	485
178	105	483
179	105	481
180	105	478
181	106	476
182	106	474
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	463
189	108	461
190	108	459
191	108	457
192	108	455
193	109	453
194	109	452
195	109	450
196	110	448
197	110	447
198	110	445
199	110	443
200	111	442
201	111	440
202	111	439
203	112	437
204	112	435
205	112	434
206	112	432
207	113	431
208	113	430
209	114	429
210	114	427
211	114	426
212	115	424
213	115	423
214	115	422
215	115	420
216	116	419
217	116	417
218	116	416
219	117	414
220	117	413
221	117	411
222	117	410
223	118	409
224	118	407
225	118	406
226	118	404
227	119	403
228	119	402
229	119	400
230	120	399
231	120	398
232	120	396
233	120	395
234	121	394
235	121	393
236	121	391
237	122	390
238	122	389
239	122	388
240	122	387
241	123	385
242	123	384
