iter	Passed	Remaining
0	59	59810
1	60	30002
2	60	20070
3	60	15092
4	60	12103
5	61	10115
6	61	8695
7	61	7626
8	61	6798
9	62	6139
10	62	5595
11	62	5140
12	62	4756
13	62	4426
14	63	4140
15	63	3891
16	63	3670
17	63	3476
18	63	3301
19	64	3148
20	64	3013
21	64	2883
22	65	2764
23	65	2656
24	65	2556
25	65	2464
26	66	2378
27	66	2299
28	66	2224
29	66	2155
30	66	2090
31	67	2029
32	67	1972
33	67	1918
34	67	1867
35	67	1819
36	68	1774
37	68	1731
38	68	1690
39	68	1651
40	69	1615
41	69	1579
42	69	1547
43	69	1516
44	70	1486
45	70	1456
46	70	1428
47	70	1403
48	70	1377
49	71	1352
50	71	1329
51	71	1307
52	71	1285
53	72	1264
54	72	1243
55	72	1223
56	72	1204
57	73	1186
58	73	1168
59	73	1151
60	73	1134
61	73	1118
62	74	1103
63	74	1088
64	74	1073
65	74	1059
66	75	1045
67	75	1031
68	75	1018
69	75	1005
70	75	993
71	76	981
72	76	969
73	76	957
74	76	946
75	76	935
76	77	925
77	77	914
78	77	904
79	77	894
80	78	885
81	78	875
82	78	865
83	78	856
84	78	847
85	78	839
86	79	830
87	79	822
88	79	814
89	79	806
90	80	799
91	80	791
92	80	784
93	80	776
94	80	769
95	81	763
96	81	756
97	81	750
98	81	743
99	81	737
100	82	730
101	82	724
102	82	718
103	82	713
104	83	707
105	83	702
106	83	696
107	83	691
108	83	686
109	84	681
110	84	676
111	84	671
112	84	666
113	85	661
114	85	657
115	85	652
116	85	647
117	86	643
118	86	639
119	86	634
120	86	630
121	86	625
122	87	620
123	87	616
124	87	612
125	87	608
126	87	604
127	88	600
128	88	596
129	88	592
130	88	588
131	88	584
132	89	581
133	89	577
134	89	574
135	89	571
136	90	568
137	90	565
138	90	562
139	90	558
140	91	555
141	91	551
142	91	548
143	91	545
144	92	542
145	92	539
146	92	536
147	92	533
148	92	530
149	93	527
150	93	524
151	93	521
152	93	518
153	93	515
154	94	513
155	94	510
156	94	507
157	94	504
158	94	502
159	95	499
160	95	496
161	95	493
162	95	491
163	95	488
164	96	486
165	96	484
166	96	482
167	96	479
168	97	477
169	97	475
170	97	472
171	97	470
172	97	468
173	98	466
174	98	463
175	98	461
176	98	459
177	99	457
178	99	455
179	99	452
180	99	450
181	99	448
182	100	446
183	100	444
184	100	443
185	100	441
186	101	440
187	101	439
188	101	437
189	102	435
190	102	434
191	102	432
192	103	430
193	103	429
194	103	427
195	103	425
196	104	424
197	104	422
198	104	421
199	104	419
200	105	417
201	105	415
202	105	414
203	105	412
204	105	410
205	106	409
206	106	407
207	106	405
208	106	404
209	106	402
210	107	400
211	107	399
212	107	397
213	107	396
214	108	394
215	108	393
216	108	391
217	108	389
218	108	388
219	109	386
220	109	385
221	109	383
222	109	382
223	109	380
224	110	379
225	110	378
226	110	376
227	110	375
228	111	373
229	111	372
230	111	371
231	111	369
232	111	368
233	112	367
234	112	365
235	112	364
236	112	363
237	113	361
238	113	360
239	113	359
240	113	358
241	113	356
242	114	355
243	114	354
244	114	353
245	114	351
246	114	350
247	115	350
